iter	Passed	Remaining
0	62	62517
1	62	31377
2	63	20989
3	63	15796
4	63	12685
5	64	10609
6	64	9119
7	64	8004
8	64	7138
9	65	6446
10	65	5878
11	65	5406
12	65	5007
13	66	4662
14	66	4364
15	66	4105
16	67	3874
17	67	3670
18	67	3486
19	67	3321
20	68	3172
21	68	3039
22	68	2916
23	68	2803
24	69	2699
25	69	2604
26	69	2514
27	70	2431
28	70	2356
29	70	2283
30	70	2215
31	71	2152
32	71	2091
33	71	2035
34	71	1982
35	72	1932
36	72	1885
37	72	1841
38	73	1798
39	73	1758
40	73	1720
41	73	1683
42	74	1649
43	74	1615
44	74	1583
45	74	1553
46	75	1523
47	75	1496
48	75	1469
49	75	1443
50	76	1418
51	76	1394
52	76	1372
53	77	1349
54	77	1328
55	77	1307
56	77	1287
57	78	1268
58	78	1249
59	78	1231
60	78	1215
61	79	1198
62	79	1182
63	79	1167
64	80	1152
65	80	1137
66	80	1123
67	80	1107
68	81	1093
69	81	1080
70	81	1067
71	81	1055
72	82	1043
73	82	1031
74	82	1020
75	83	1009
76	83	999
77	83	989
78	83	978
79	84	968
80	84	958
81	84	948
82	85	939
83	85	930
84	85	919
85	85	911
86	85	901
87	86	893
88	86	885
89	86	876
90	87	869
91	87	861
92	87	853
93	87	846
94	88	840
95	88	833
96	88	827
97	89	820
98	89	813
99	89	807
100	89	800
101	90	793
102	90	787
103	90	781
104	90	775
105	91	769
106	91	763
107	91	757
108	92	752
109	92	747
110	92	741
111	92	736
112	93	731
113	93	725
114	93	720
115	93	715
116	94	710
117	94	705
118	94	700
119	94	696
120	95	691
121	95	687
122	95	681
123	95	677
124	96	673
125	96	669
126	96	664
127	96	659
128	97	656
129	97	652
130	97	648
131	98	644
132	98	640
133	98	636
134	98	633
135	99	629
136	99	625
137	99	621
138	99	618
139	100	615
140	100	611
141	100	608
142	100	605
143	101	601
144	101	598
145	101	595
146	102	591
147	102	588
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	103	570
154	104	567
155	104	564
156	104	561
157	104	559
158	105	556
159	105	553
160	105	550
161	105	547
162	106	545
163	106	542
164	106	539
165	106	537
166	107	534
167	107	532
168	107	530
169	108	527
170	108	525
171	108	523
172	108	520
173	109	518
174	109	515
175	109	513
176	109	511
177	110	509
178	110	506
179	110	504
180	110	501
181	111	499
182	111	497
183	111	495
184	112	493
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	482
191	114	480
192	114	478
193	114	476
194	114	474
195	115	472
196	115	470
197	115	469
198	116	467
199	116	465
200	116	464
201	117	462
202	117	460
203	117	459
204	117	457
205	118	455
206	118	454
207	118	452
208	119	451
209	119	449
210	119	447
211	119	445
212	120	444
213	120	442
214	120	440
215	121	439
216	121	437
217	121	436
218	121	434
219	122	433
220	122	431
221	122	430
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	421
230	126	419
231	126	418
232	126	417
233	126	415
234	127	414
235	127	412
236	127	411
237	127	409
238	128	408
239	128	406
240	128	405
241	129	404
242	129	402
243	129	401
244	129	400
245	130	399
246	130	397
247	130	396
248	131	395
249	131	393
250	131	392
251	131	391
252	132	390
253	132	388
254	132	387
255	132	386
256	133	384
257	133	383
258	133	382
259	133	381
260	134	380
261	134	378
262	134	377
263	135	376
264	135	375
265	135	374
266	135	372
267	136	371
268	136	370
269	136	369
270	136	368
271	137	367
272	137	366
273	137	365
274	138	364
275	138	363
276	138	361
277	138	360
278	139	359
279	139	358
280	139	357
281	139	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	351
287	141	350
288	141	349
289	142	347
290	142	347
291	142	346
292	143	345
293	143	344
294	143	343
295	143	342
296	144	341
297	144	340
298	144	339
299	144	338
300	145	337
301	145	336
302	145	335
303	145	334
304	146	333
305	146	332
306	146	331
307	147	330
308	147	329
309	147	328
310	147	327
311	148	326
312	148	325
313	148	324
314	148	323
315	149	322
316	149	322
317	149	321
318	149	320
319	150	319
320	150	318
321	150	317
322	151	316
323	151	315
324	151	314
325	151	313
326	152	313
327	152	312
328	152	311
329	152	310
330	153	309
331	153	308
332	153	307
333	153	306
334	154	306
335	154	305
336	154	304
337	154	303
338	155	302
339	155	301
340	155	300
341	155	300
342	156	299
343	156	298
344	156	297
345	157	296
346	157	296
347	157	295
348	157	294
349	158	293
350	158	292
351	158	292
352	158	291
353	159	290
354	159	289
355	159	288
356	159	287
357	160	287
358	160	286
359	160	285
360	161	285
361	161	284
362	161	283
363	161	282
364	162	282
365	162	281
366	162	280
367	162	279
368	163	278
369	163	278
370	163	277
371	163	276
372	164	276
373	164	275
374	164	274
375	164	273
376	165	273
377	165	272
378	165	271
379	166	270
380	166	270
381	166	269
382	166	268
383	167	268
384	167	267
385	167	266
386	167	265
387	168	265
388	168	264
389	168	263
390	168	263
391	169	262
392	169	261
393	169	261
394	170	260
395	170	259
396	170	259
397	170	258
398	171	257
399	171	257
400	171	256
401	172	255
402	172	255
403	172	254
404	172	253
405	173	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	248
414	175	247
415	175	246
416	176	246
417	176	245
418	176	244
419	176	244
420	177	243
421	177	243
422	177	242
423	178	241
424	178	241
425	178	240
426	178	239
427	179	239
428	179	238
429	179	238
430	179	237
431	180	236
432	180	236
433	180	235
434	180	234
435	181	234
436	181	233
437	181	233
438	181	232
439	182	231
440	182	231
441	182	230
442	183	230
443	183	229
444	183	228
445	183	228
446	184	227
447	184	227
448	184	226
449	184	225
450	185	225
451	185	224
452	185	224
453	185	223
454	186	223
455	186	222
456	186	221
457	187	221
458	187	220
459	187	220
460	187	219
461	188	219
462	188	218
463	188	217
464	188	217
465	189	216
466	189	216
467	189	215
468	190	215
469	190	214
470	190	214
471	190	213
472	191	212
473	191	212
474	191	211
475	191	211
476	192	210
477	192	210
478	192	209
479	193	209
480	193	208
481	193	208
482	193	207
483	194	206
484	194	206
485	194	205
486	194	205
487	195	204
488	195	204
489	195	203
490	195	203
491	196	202
492	196	202
493	196	201
494	197	201
495	197	200
496	197	199
497	197	199
498	198	198
499	198	198
500	198	197
501	198	197
502	199	196
503	199	196
504	199	195
505	200	195
506	200	194
507	200	194
508	200	193
509	201	193
510	201	192
511	201	192
512	201	191
513	202	191
514	202	190
515	202	190
516	203	189
517	203	189
518	203	188
519	203	188
520	204	187
521	204	187
522	204	186
523	205	186
524	205	185
525	205	185
526	205	184
527	206	184
528	206	183
529	206	183
530	206	182
531	207	182
